Machine,Start,End,Length,Jobs on Machine
M1,3,13,10,"A, B"
M2,17,36,19,"C, D"
M3,38,45,7,"E, F, G, H"
M4,47,100,53,"I, J"
M5,99,193,94,"K, L, M, N, O, P"
M6,197,230,33,Q
M7,257,397,140,"R, S, T"
M8,402,403,1,"U, V, W, X"
M9,404,523,119,"Y, Z, AA"
M10,529,537,8,"AB, AC, AD, AE"
M11,537,591,54,"AF, AG, AH, AI"
M12,593,601,8,"AJ, AK, AL"
M13,597,600,3,"AM, AN"
M14,614,615,1,AO
M15,630,641,11,"AP, AQ, AR"
M16,644,768,124,"AS, AT, AU"
M17,753,755,2,"AV, AW"
M18,757,759,2,AX
M19,761,777,16,"AY, AZ, BA, BB, BC"
M20,785,795,10,"BD, BE"
M21,817,841,24,"BF, BG, BH, BI, BJ"
M22,843,893,50,"BK, BL, BM"
M23,898,903,5,"BN, BO, BP, BQ, BR"
M24,906,937,31,"BS, BT, BU, BV, BW"
M25,924,942,18,"BX, BY, BZ"
M26,942,943,1,CA
M27,945,977,32,"CB, CC, CD, CE, CF"
M28,1016,1022,6,"CG, CH, CI, CJ, CK, CL"
M29,1019,1028,9,"CM, CN, CO, CP"
M30,1042,1050,8,"CQ, CR, CS"
M31,1053,1056,3,"CT, CU"
M32,1060,1110,50,"CV, CW, CX, CY, CZ, DA"
M33,1099,1151,52,"DB, DC, DD, DE, DF"
M34,1153,1204,51,"DG, DH, DI, DJ, DK, DL"
M35,1227,1240,13,"DM, DN, DO, DP, DQ, DR"
M36,1245,1250,5,"DS, DT, DU, DV, DW"
M37,1245,1247,2,"DX, DY, DZ"
M38,1251,1264,13,"EA, EB, EC, ED, EE"
M39,1265,1276,11,EF
M40,1290,1304,14,"EG, EH, EI"
M41,1297,1415,118,"EJ, EK"
M42,1437,1450,13,"EL, EM"
M43,1454,1465,11,"EN, EO, EP, EQ, ER"
M44,1467,1468,1,"ES, ET"
M45,1471,1543,72,"EU, EV, EW, EX, EY"
M46,1548,1640,92,"EZ, FA, FB, FC, FD, FE"
M47,1642,1694,52,"FF, FG, FH, FI"
M48,1695,1702,7,"FJ, FK, FL, FM, FN, FO"
M49,1714,1732,18,FP
M50,1739,1750,11,"FQ, FR"
M51,1752,1755,3,FS
M52,1757,1797,40,"FT, FU, FV, FW, FX, FY"
M53,1793,1794,1,"FZ, GA, GB, GC"
M54,1795,1810,15,"GD, GE, GF, GG, GH"
M55,1824,1830,6,"GI, GJ, GK, GL, GM"
M56,1850,1865,15,GN
M57,1863,1883,20,"GO, GP"
M58,1886,1894,8,"GQ, GR, GS, GT, GU, GV"
M59,1896,1897,1,"GW, GX, GY, GZ"
M60,1907,1909,2,"HA, HB, HC, HD, HE"
M61,1912,1915,3,HF
M62,1915,1919,4,"HG, HH"
M63,1947,2064,117,"HI, HJ, HK, HL"
M64,2069,2079,10,"HM, HN, HO, HP"
M65,2088,2180,92,HQ
M66,2181,2197,16,"HR, HS, HT, HU, HV"
M67,2198,2218,20,"HW, HX"
M68,2218,2219,1,"HY, HZ"
M69,2220,2244,24,"IA, IB, IC, ID, IE"
M70,2258,2299,41,IF
M71,2303,2360,57,"IG, IH, II, IJ, IK, IL"
M72,2361,2363,2,IM
M73,2362,2489,127,"IN, IO, IP, IQ, IR"
M74,2490,2494,4,IS
M75,2508,2510,2,"IT, IU, IV"
M76,2511,2520,9,"IW, IX, IY, IZ, JA"
M77,2523,2567,44,"JB, JC, JD"
M78,2571,2673,102,"JE, JF, JG"
M79,2677,2679,2,"JH, JI, JJ, JK, JL, JM"
M80,2686,2742,56,"JN, JO, JP"
M81,2745,2854,109,"JQ, JR, JS, JT, JU, JV"
M82,2854,2870,16,"JW, JX, JY, JZ, KA"
M83,2874,2876,2,"KB, KC, KD, KE, KF"
M84,2898,2917,19,KG
M85,2912,2937,25,"KH, KI, KJ, KK, KL"
M86,2941,2945,4,"KM, KN, KO, KP, KQ, KR"
M87,2946,2949,3,"KS, KT, KU, KV, KW"
M88,2954,2964,10,"KX, KY, KZ, LA, LB, LC"
M89,2959,2964,5,"LD, LE, LF, LG, LH"
M90,2974,2983,9,LI
M91,3004,3057,53,LJ
M92,3060,3063,3,LK
M93,3060,3062,2,"LL, LM, LN"
M94,3064,3065,1,"LO, LP, LQ"
M95,3074,3086,12,"LR, LS, LT, LU"
M96,3089,3112,23,"LV, LW, LX, LY, LZ"
M97,3099,3114,15,"MA, MB, MC"
M98,3127,3133,6,"MD, ME"
M99,3136,3152,16,"MF, MG, MH, MI, MJ"
M100,3155,3159,4,"MK, ML, MM"
M101,3158,3162,4,"MN, MO, MP"
M102,3165,3198,33,"MQ, MR, MS, MT, MU, MV"
M103,3203,3205,2,"MW, MX"
M104,3205,3208,3,"MY, MZ"
M105,3233,3244,11,"NA, NB, NC"
M106,3249,3262,13,"ND, NE, NF"
M107,3266,3268,2,"NG, NH, NI, NJ, NK, NL"
M108,3273,3290,17,"NM, NN, NO"
M109,3279,3390,111,"NP, NQ, NR"
M110,3404,3443,39,"NS, NT"
M111,3448,3457,9,NU
M112,3483,3491,8,"NV, NW"
M113,3486,3565,79,"NX, NY, NZ"
M114,3569,3614,45,"OA, OB, OC, OD, OE"
M115,3627,3643,16,"OF, OG, OH"
M116,3647,3651,4,OI
M117,3650,3682,32,"OJ, OK, OL, OM"
M118,3682,3806,124,"ON, OO, OP, OQ, OR"
M119,3817,3842,25,"OS, OT, OU, OV, OW, OX"
M120,3846,3853,7,"OY, OZ, PA, PB, PC"
M121,3857,3880,23,"PD, PE, PF, PG"
M122,3883,3942,59,"PH, PI, PJ, PK, PL, PM"
M123,3946,3961,15,"PN, PO, PP"
M124,3962,4016,54,"PQ, PR"
M125,4010,4022,12,"PS, PT, PU, PV, PW, PX"
M126,4033,4056,23,"PY, PZ, QA, QB, QC, QD"
M127,4056,4067,11,"QE, QF, QG, QH, QI"
M128,4069,4087,18,"QJ, QK, QL"
M129,4076,4099,23,"QM, QN, QO, QP, QQ, QR"
M130,4110,4217,107,"QS, QT, QU, QV, QW, QX"
M131,4221,4226,5,"QY, QZ, RA, RB, RC"
M132,4230,4231,1,"RD, RE, RF, RG, RH, RI"
M133,4257,4260,3,"RJ, RK"
M134,4264,4275,11,"RL, RM"
M135,4284,4315,31,"RN, RO, RP, RQ, RR"
M136,4318,4337,19,"RS, RT, RU"
M137,4334,4381,47,"RV, RW"
M138,4382,4392,10,RX
M139,4397,4406,9,"RY, RZ, SA, SB, SC, SD"
M140,4431,4442,11,"SE, SF, SG"
M141,4435,4453,18,SH
M142,4456,4466,10,"SI, SJ, SK, SL"
M143,4471,4473,2,"SM, SN, SO, SP, SQ, SR"
M144,4478,4488,10,"SS, ST, SU, SV, SW"
M145,4488,4588,100,"SX, SY, SZ, TA, TB, TC"
M146,4589,4614,25,"TD, TE, TF, TG"
M147,4639,4645,6,"TH, TI"
M148,4645,4649,4,"TJ, TK"
M149,4648,4688,40,"TL, TM, TN, TO, TP, TQ"
M150,4701,4739,38,"TR, TS, TT, TU, TV"
M151,4741,4776,35,"TW, TX, TY, TZ"
M152,4778,4799,21,"UA, UB"
M153,4788,4854,66,"UC, UD, UE"
M154,4891,4925,34,"UF, UG, UH"
M155,4933,4983,50,"UI, UJ, UK, UL, UM, UN"
M156,4988,5016,28,"UO, UP, UQ, UR, US, UT"
M157,5014,5063,49,UU
M158,5068,5155,87,UV
M159,5156,5166,10,"UW, UX, UY, UZ, VA, VB"
M160,5176,5180,4,"VC, VD"
M161,5209,5226,17,"VE, VF, VG, VH"
M162,5226,5238,12,"VI, VJ, VK, VL, VM, VN"
M163,5240,5243,3,"VO, VP, VQ, VR, VS, VT"
M164,5247,5371,124,"VU, VV"
M165,5369,5370,1,"VW, VX, VY, VZ, WA"
M166,5373,5374,1,"WB, WC, WD, WE, WF, WG"
M167,5375,5389,14,WH
M168,5404,5519,115,"WI, WJ, WK, WL"
M169,5517,5556,39,"WM, WN, WO, WP"
M170,5571,5623,52,"WQ, WR, WS, WT, WU, WV"
M171,5625,5635,10,"WW, WX, WY, WZ"
M172,5639,5650,11,"XA, XB, XC"
M173,5646,5661,15,XD
M174,5664,5680,16,"XE, XF, XG"
M175,5714,5718,4,"XH, XI, XJ, XK, XL, XM"
M176,5720,5728,8,"XN, XO, XP, XQ, XR, XS"
M177,5725,5842,117,"XT, XU, XV, XW, XX"
M178,5842,5874,32,XY
M179,5879,5907,28,"XZ, YA, YB"
M180,5911,5970,59,"YC, YD"
M181,5967,6006,39,"YE, YF, YG"
M182,6033,6107,74,"YH, YI, YJ, YK, YL, YM"
M183,6108,6185,77,"YN, YO, YP, YQ"
M184,6186,6197,11,"YR, YS"
M185,6204,6220,16,"YT, YU"
M186,6224,6230,6,"YV, YW"
M187,6235,6244,9,"YX, YY, YZ, ZA, ZB"
M188,6245,6278,33,"ZC, ZD, ZE, ZF"
M189,6296,6302,6,"ZG, ZH"
M190,6306,6349,43,"ZI, ZJ, ZK, ZL"
M191,6353,6405,52,"ZM, ZN, ZO"
M192,6407,6422,15,"ZP, ZQ"
M193,6416,6439,23,"ZR, ZS"
M194,6443,6487,44,"ZT, ZU, ZV, ZW, ZX"
