Machine,Start,End,Length,Jobs on Machine
M1,1,45,44,"A, B"
M2,45,52,7,C
M3,52,83,31,D
M4,86,134,48,E
M5,126,199,73,F
M6,200,264,64,"G, H"
M7,288,321,33,"I, J"
M8,322,326,4,"K, L"
M9,328,340,12,M
M10,343,445,102,"N, O"
M11,445,522,77,"P, Q"
M12,527,530,3,"R, S"
M13,533,535,2,T
M14,559,569,10,U
M15,572,581,9,V
M16,581,685,104,"W, X"
M17,672,723,51,"Y, Z"
M18,727,728,1,AA
M19,730,829,99,"AB, AC"
M20,835,850,15,AD
M21,879,883,4,AE
M22,887,899,12,AF
M23,899,932,33,"AG, AH"
M24,935,990,55,"AI, AJ"
M25,995,1118,123,AK
M26,1118,1132,14,AL
M27,1132,1143,11,AM
M28,1166,1173,7,"AN, AO"
M29,1171,1175,4,AP
M30,1182,1188,6,"AQ, AR"
M31,1189,1213,24,"AS, AT"
M32,1215,1231,16,"AU, AV"
M33,1224,1293,69,AW
M34,1293,1297,4,"AX, AY"
M35,1315,1337,22,AZ
M36,1342,1348,6,BA
M37,1348,1365,17,BB
M38,1369,1485,116,"BC, BD"
M39,1488,1503,15,BE
M40,1517,1519,2,"BF, BG"
M41,1521,1539,18,"BH, BI"
M42,1578,1591,13,BJ
M43,1595,1608,13,BK
M44,1612,1632,20,BL
M45,1638,1693,55,BM
M46,1696,1708,12,"BN, BO"
M47,1712,1713,1,BP
M48,1716,1719,3,BQ
M49,1751,1851,100,"BR, BS"
M50,1866,1870,4,BT
M51,1870,1876,6,BU
M52,1876,1880,4,BV
M53,1880,1934,54,BW
M54,1937,1957,20,"BX, BY"
M55,1971,1989,18,BZ
M56,2013,2029,16,"CA, CB"
M57,2023,2030,7,CC
M58,2035,2072,37,"CD, CE"
M59,2073,2082,9,CF
M60,2087,2097,10,CG
M61,2093,2097,4,CH
M62,2097,2209,112,"CI, CJ"
M63,2234,2236,2,CK
M64,2236,2337,101,"CL, CM"
M65,2331,2413,82,CN
M66,2413,2429,16,CO
M67,2430,2448,18,CP
M68,2453,2501,48,"CQ, CR"
M69,2487,2512,25,CS
M70,2546,2643,97,CT
M71,2643,2653,10,"CU, CV"
