Machine,Start,End,Length,Jobs on Machine
M1,6,95,89,"A, B, C, D, E, F"
M2,98,108,10,"G, H, I, J, K, L"
M3,109,119,10,"M, N, O"
M4,123,246,123,P
M5,247,255,8,"Q, R, S, T, U, V"
M6,257,304,47,"W, X, Y"
M7,324,327,3,"Z, AA, AB"
M8,327,381,54,"AC, AD, AE"
M9,365,417,52,"AF, AG, AH, AI, AJ, AK"
M10,420,421,1,"AL, AM, AN"
M11,426,485,59,"AO, AP, AQ, AR, AS, AT"
M12,489,594,105,"AU, AV, AW, AX"
M13,586,612,26,"AY, AZ, BA, BB, BC"
M14,641,688,47,BD
M15,697,723,26,BE
M16,728,740,12,"BF, BG, BH, BI"
M17,737,762,25,"BJ, BK, BL, BM, BN"
M18,767,769,2,"BO, BP"
M19,773,777,4,"BQ, BR"
M20,787,927,140,"BS, BT, BU, BV, BW"
M21,944,960,16,"BX, BY, BZ"
M22,963,996,33,"CA, CB, CC, CD, CE"
M23,997,1017,20,"CF, CG, CH"
M24,1018,1032,14,"CI, CJ, CK, CL"
M25,1035,1149,114,"CM, CN, CO, CP, CQ, CR"
M26,1151,1191,40,"CS, CT, CU, CV, CW"
M27,1194,1198,4,"CX, CY, CZ, DA, DB, DC"
M28,1228,1230,2,"DD, DE, DF"
M29,1230,1236,6,"DG, DH"
M30,1245,1263,18,"DI, DJ, DK, DL"
M31,1263,1267,4,"DM, DN, DO, DP"
M32,1267,1276,9,"DQ, DR, DS, DT, DU, DV"
M33,1273,1274,1,"DW, DX, DY, DZ, EA, EB"
M34,1276,1371,95,"EC, ED, EE"
M35,1405,1440,35,"EF, EG, EH, EI, EJ, EK"
M36,1445,1464,19,EL
M37,1461,1536,75,"EM, EN, EO"
M38,1541,1572,31,"EP, EQ, ER"
M39,1572,1591,19,"ES, ET, EU, EV, EW, EX"
M40,1599,1604,5,"EY, EZ"
M41,1606,1703,97,FA
M42,1720,1721,1,"FB, FC, FD, FE"
M43,1726,1728,2,FF
M44,1729,1739,10,"FG, FH"
M45,1746,1755,9,"FI, FJ, FK, FL, FM"
M46,1759,1772,13,"FN, FO"
M47,1773,1784,11,"FP, FQ, FR"
M48,1784,1806,22,"FS, FT"
M49,1828,1834,6,"FU, FV, FW, FX, FY, FZ"
M50,1844,1874,30,"GA, GB, GC"
M51,1877,1905,28,"GD, GE, GF, GG, GH"
M52,1909,1923,14,"GI, GJ"
M53,1919,2022,103,GK
M54,2022,2026,4,"GL, GM, GN, GO, GP, GQ"
M55,2037,2050,13,"GR, GS, GT, GU"
M56,2071,2119,48,"GV, GW, GX"
M57,2105,2125,20,"GY, GZ, HA, HB, HC"
M58,2126,2133,7,HD
M59,2136,2147,11,"HE, HF, HG, HH, HI, HJ"
M60,2150,2204,54,"HK, HL, HM, HN, HO"
M61,2195,2197,2,"HP, HQ, HR, HS"
M62,2201,2203,2,"HT, HU, HV, HW, HX"
M63,2238,2356,118,"HY, HZ, IA"
M64,2357,2373,16,"IB, IC, ID, IE"
M65,2370,2373,3,"IF, IG"
M66,2376,2468,92,IH
M67,2469,2483,14,"II, IJ, IK, IL, IM"
M68,2484,2487,3,"IN, IO, IP, IQ, IR, IS"
M69,2489,2506,17,"IT, IU, IV"
M70,2544,2585,41,"IW, IX, IY, IZ, JA"
M71,2590,2607,17,"JB, JC, JD, JE"
M72,2607,2611,4,"JF, JG, JH, JI"
M73,2612,2614,2,"JJ, JK"
M74,2618,2646,28,"JL, JM"
M75,2653,2682,29,"JN, JO, JP, JQ, JR, JS"
M76,2685,2707,22,JT
M77,2720,2742,22,"JU, JV, JW, JX, JY"
M78,2742,2754,12,"JZ, KA, KB, KC, KD, KE"
M79,2759,2780,21,"KF, KG, KH, KI, KJ, KK"
M80,2786,2836,50,KL
M81,2832,2849,17,"KM, KN"
M82,2850,2887,37,"KO, KP, KQ"
M83,2891,2921,30,"KR, KS"
M84,2940,3020,80,"KT, KU, KV, KW, KX, KY"
M85,3022,3034,12,KZ
M86,3035,3045,10,"LA, LB, LC, LD, LE, LF"
M87,3046,3070,24,"LG, LH, LI, LJ, LK, LL"
M88,3070,3114,44,"LM, LN, LO"
M89,3110,3250,140,"LP, LQ, LR"
M90,3262,3278,16,"LS, LT, LU, LV, LW, LX"
M91,3316,3317,1,"LY, LZ, MA, MB, MC"
M92,3317,3318,1,"MD, ME, MF"
M93,3320,3326,6,"MG, MH, MI, MJ, MK, ML"
M94,3328,3345,17,"MM, MN"
M95,3353,3358,5,"MO, MP, MQ, MR"
M96,3363,3366,3,"MS, MT, MU, MV, MW, MX"
M97,3367,3399,32,MY
M98,3439,3537,98,MZ
M99,3542,3552,10,"NA, NB, NC, ND"
M100,3557,3570,13,"NE, NF, NG, NH"
