Busy Time
Capacity
7
Job,Release,Deadline,processingTime
A,1,46,44
B,1,46,44
C,1,54,44
D,1,48,44
E,1,90,44
F,44,74,1
G,22,159,21
H,19,102,21
I,51,78,21
J,51,73,21
K,48,85,21
L,29,86,21
M,48,129,21
N,74,145,14
O,1,159,14
P,34,186,14
Q,88,105,15
R,107,149,41
S,91,157,41
T,98,164,41
U,166,197,8
V,160,203,8
W,146,245,8
X,128,231,8
Y,164,178,8
Z,163,176,8
AA,150,188,8
AB,158,322,135
AC,174,330,135
AD,172,370,135
AE,167,365,135
AF,275,382,1
AG,306,313,1
AH,317,329,8
AI,316,332,8
AJ,307,386,45
AK,328,397,45
AL,326,409,45
AM,268,486,45
AN,285,416,45
AO,326,374,45
AP,371,381,7
AQ,351,393,7
AR,350,395,7
AS,373,413,7
AT,379,405,4
AU,338,407,4
AV,342,444,7
AW,401,413,7
AX,400,412,7
AY,380,414,7
AZ,409,443,18
BA,411,464,18
BB,419,454,18
BC,377,536,18
BD,393,548,18
BE,418,438,18
BF,441,479,36
BG,424,488,36
BH,426,485,36
BI,439,528,36
BJ,432,531,36
BK,386,588,36
BL,414,572,36
BM,458,466,2
BN,458,462,2
BO,456,473,2
BP,446,554,86
BQ,460,570,86
BR,458,567,86
BS,405,624,86
BT,403,629,86
BU,554,561,4
BV,553,560,4
BW,536,568,4
BX,535,562,4
BY,544,612,4
BZ,548,598,4
CA,558,660,45
CB,525,639,45
CC,568,617,45
CD,570,616,45
CE,600,644,17
CF,608,639,17
CG,632,723,55
CH,691,757,18
CI,680,742,18
CJ,671,784,18
CK,696,720,18
CL,694,719,18
CM,683,723,18
CN,673,721,18
CO,707,793,52
CP,709,803,52
CQ,689,800,52
CR,677,830,52
CS,715,768,52
CT,769,854,79
CU,759,865,79
CV,747,853,79
CW,767,895,79
CX,852,916,16
CY,776,983,16
CZ,793,939,16
DA,851,870,16
DB,870,876,5
DC,867,881,5
DD,846,887,5
DE,902,946,8
DF,909,963,8
DG,879,960,8
DH,847,978,8
DI,912,920,8
DJ,909,922,8
DK,913,988,57
DL,904,982,57
DM,912,1019,57
DN,920,1029,57
DO,958,1118,95
DP,906,1134,95
DQ,978,1079,95
DR,980,1077,95
DS,977,1079,95
DT,965,1084,95
DU,971,1111,95
DV,1071,1135,5
DW,1031,1187,5
DX,1010,1175,10
DY,1082,1100,10
DZ,1089,1128,35
EA,1083,1137,35
EB,1117,1137,2
EC,1129,1173,2
ED,1123,1172,2
EE,1069,1212,2
EF,1067,1179,2
EG,1126,1136,2
EH,1127,1131,2
EI,1153,1182,9
EJ,1163,1188,9
EK,1170,1203,9
EL,1167,1228,9
EM,1138,1274,9
EN,1107,1228,14
EO,1178,1198,14
EP,1179,1196,14
EQ,1163,1197,14
ER,1167,1195,14
ES,1171,1244,14
ET,1169,1234,14
EU,1161,1221,9
EV,1134,1313,9
EW,1191,1204,9
EX,1191,1205,9
EY,1171,1203,9
EZ,1172,1209,9
FA,1188,1237,9
FB,1197,1236,1
FC,1169,1305,1
FD,1171,1259,1
FE,1204,1207,1
FF,1203,1206,1
FG,1198,1216,1
FH,1196,1215,1
FI,1210,1283,40
FJ,1206,1276,40
FK,1136,1298,40
FL,1191,1368,40
FM,1207,1251,40
FN,1263,1270,3
FO,1239,1278,3
FP,1260,1278,3
FQ,1256,1284,3
