Machine,Start,End,Length,Jobs on Machine
M1,1,2,1,A
M2,5,50,45,"B, C, D"
M3,51,52,1,"E, F, G"
M4,56,59,3,"H, I, J"
M5,65,92,27,"K, L, M, N"
M6,97,115,18,O
M7,128,129,1,"P, Q"
M8,134,151,17,"R, S"
M9,137,151,14,"T, U, V, W, X"
M10,156,239,83,"Y, Z, AA, AB"
M11,240,339,99,"AC, AD, AE"
M12,339,347,8,"AF, AG, AH, AI"
M13,343,395,52,"AJ, AK, AL, AM"
M14,432,465,33,"AN, AO, AP, AQ, AR"
M15,480,484,4,AS
M16,486,505,19,"AT, AU, AV, AW, AX"
M17,496,540,44,"AY, AZ, BA"
M18,545,578,33,"BB, BC"
M19,579,623,44,"BD, BE, BF, BG, BH"
M20,632,641,9,"BI, BJ, BK"
M21,648,650,2,"BL, BM, BN, BO, BP"
M22,653,696,43,"BQ, BR, BS"
M23,697,707,10,"BT, BU, BV"
M24,709,722,13,"BW, BX"
M25,733,771,38,"BY, BZ"
M26,773,898,125,CA
M27,902,915,13,CB
M28,928,1038,110,CC
M29,1025,1035,10,"CD, CE, CF, CG"
M30,1046,1065,19,"CH, CI"
M31,1068,1119,51,"CJ, CK"
M32,1119,1129,10,"CL, CM, CN"
M33,1127,1159,32,CO
M34,1161,1295,134,CP
M35,1326,1334,8,"CQ, CR, CS, CT"
M36,1335,1338,3,"CU, CV, CW, CX, CY"
M37,1336,1352,16,CZ
M38,1357,1365,8,"DA, DB, DC, DD, DE"
M39,1367,1370,3,"DF, DG"
M40,1381,1395,14,"DH, DI, DJ"
M41,1393,1423,30,"DK, DL, DM, DN"
M42,1463,1557,94,"DO, DP, DQ, DR"
M43,1562,1594,32,"DS, DT"
M44,1596,1603,7,"DU, DV, DW, DX, DY"
M45,1604,1656,52,"DZ, EA, EB"
M46,1656,1674,18,"EC, ED, EE"
M47,1675,1676,1,"EF, EG, EH"
M48,1677,1691,14,"EI, EJ"
M49,1726,1731,5,EK
M50,1740,1741,1,EL
M51,1744,1746,2,"EM, EN, EO, EP, EQ"
M52,1748,1758,10,"ER, ES, ET"
M53,1760,1814,54,"EU, EV, EW, EX"
M54,1815,1831,16,"EY, EZ"
M55,1838,1851,13,"FA, FB, FC"
M56,1873,1922,49,"FD, FE, FF"
M57,1919,1974,55,FG
M58,1975,1979,4,"FH, FI"
M59,1979,2027,48,"FJ, FK, FL"
M60,2031,2068,37,"FM, FN"
M61,2051,2053,2,"FO, FP, FQ, FR, FS"
M62,2057,2154,97,FT
M63,2172,2223,51,FU
M64,2223,2240,17,"FV, FW, FX, FY"
M65,2238,2242,4,"FZ, GA"
M66,2242,2308,66,"GB, GC, GD"
M67,2312,2322,10,"GE, GF, GG, GH"
M68,2327,2340,13,"GI, GJ"
M69,2332,2408,76,"GK, GL, GM"
M70,2437,2472,35,"GN, GO"
M71,2474,2479,5,"GP, GQ, GR, GS"
M72,2479,2510,31,"GT, GU, GV"
M73,2506,2523,17,"GW, GX, GY, GZ, HA"
M74,2526,2546,20,"HB, HC, HD, HE"
M75,2560,2615,55,"HF, HG, HH, HI"
M76,2620,2635,15,"HJ, HK, HL, HM, HN"
M77,2670,2689,19,"HO, HP, HQ, HR"
M78,2693,2822,129,HS
M79,2827,2856,29,"HT, HU, HV"
M80,2859,2873,14,HW
M81,2874,2885,11,"HX, HY, HZ, IA, IB"
M82,2886,2887,1,"IC, ID, IE, IF"
M83,2889,2926,37,IG
M84,2939,2940,1,"IH, II, IJ"
M85,2949,2975,26,"IK, IL"
M86,2980,3028,48,IM
M87,3032,3068,36,"IN, IO"
M88,3068,3077,9,IP
M89,3079,3194,115,"IQ, IR, IS"
M90,3206,3296,90,"IT, IU"
M91,3332,3335,3,"IV, IW"
M92,3337,3338,1,"IX, IY, IZ"
M93,3341,3373,32,"JA, JB, JC"
M94,3374,3392,18,"JD, JE, JF, JG, JH"
M95,3396,3422,26,"JI, JJ, JK"
M96,3425,3486,61,"JL, JM, JN, JO, JP"
M97,3485,3486,1,"JQ, JR"
M98,3499,3502,3,"JS, JT, JU"
M99,3507,3509,2,"JV, JW, JX, JY"
M100,3520,3533,13,"JZ, KA"
M101,3521,3522,1,KB
M102,3527,3540,13,KC
M103,3545,3548,3,"KD, KE, KF, KG"
M104,3548,3557,9,"KH, KI, KJ, KK, KL"
M105,3587,3592,5,"KM, KN, KO, KP, KQ"
M106,3592,3642,50,KR
M107,3645,3646,1,"KS, KT, KU"
M108,3648,3665,17,"KV, KW, KX, KY, KZ"
M109,3657,3666,9,"LA, LB, LC, LD"
