Busy Time
Capacity
3
Job,Release,Deadline,processingTime
A,1,17,13
B,2,17,13
C,1,22,13
D,1,161,136
E,156,297,99
F,254,300,3
G,187,285,3
H,201,381,4
I,279,336,53
J,368,427,57
K,348,434,57
L,423,452,10
M,425,463,10
N,426,457,10
O,356,575,105
P,387,592,105
Q,432,539,105
R,547,548,1
S,545,596,33
T,535,593,33
U,572,643,5
V,572,639,5
W,546,628,5
X,560,706,62
Y,581,648,62
Z,666,674,8
AA,652,686,8
AB,641,677,8
AC,680,833,104
AD,683,850,104
AE,646,857,104
AF,779,918,17
AG,796,818,17
AH,804,842,32
AI,793,851,32
AJ,833,862,11
AK,834,884,11
AL,844,958,50
AM,824,1014,50
AN,865,987,11
AO,947,960,8
AP,948,961,8
AQ,937,967,8
AR,949,969,1
AS,958,1002,7
AT,949,1001,7
AU,904,1117,95
AV,1021,1099,6
AW,1065,1076,6
AX,1066,1074,6
AY,1053,1194,117
AZ,1189,1222,10
BA,1217,1286,7
BB,1212,1284,7
BC,1144,1328,7
BD,1174,1371,31
BE,1267,1317,46
BF,1267,1314,46
BG,1246,1318,46
BH,1305,1395,67
BI,1386,1499,53
BJ,1380,1499,53
BK,1356,1503,53
BL,1415,1480,4
BM,1429,1436,4
BN,1429,1437,4
BO,1425,1449,9
BP,1416,1456,9
BQ,1428,1492,9
BR,1456,1523,13
BS,1436,1552,13
BT,1435,1642,81
BU,1478,1562,81
BV,1478,1565,81
BW,1547,1569,4
BX,1536,1567,4
BY,1551,1595,4
BZ,1555,1632,18
CA,1513,1684,18
CB,1534,1693,18
CC,1580,1721,134
CD,1579,1718,134
CE,1716,1794,72
CF,1783,1926,133
CG,1784,1959,133
CH,1783,1944,133
CI,1916,2153,110
CJ,1902,2110,110
CK,1952,2067,110
CL,2066,2107,40
CM,2053,2110,40
CN,2088,2128,5
CO,2120,2152,8
CP,2115,2151,8
CQ,2093,2237,42
CR,2074,2231,42
CS,2133,2175,42
CT,2180,2234,54
CU,2163,2238,54
CV,2161,2239,54
CW,2234,2282,18
CX,2236,2275,18
CY,2211,2399,13
CZ,2271,2377,13
DA,2298,2308,3
DB,2309,2328,17
DC,2287,2341,17
DD,2292,2340,17
DE,2323,2359,11
DF,2330,2516,119
DG,2290,2558,119
DH,2305,2478,119
DI,2457,2463,3
DJ,2458,2465,3
DK,2468,2555,73
DL,2537,2596,33
DM,2584,2624,8
DN,2586,2645,26
DO,2550,2650,26
DP,2608,2650,2
DQ,2621,2626,2
DR,2619,2626,2
DS,2613,2650,37
DT,2634,2650,12
DU,2657,2669,12
DV,2650,2662,12
DW,2627,2650,17
DX,2631,2650,17
DY,2728,2736,8
DZ,2726,2734,8
EA,2717,2725,8
EB,2737,2763,26
EC,2740,2766,26
ED,2736,2762,26
EE,2730,2808,78
EF,2706,2784,78
EG,2768,2846,78
EH,2852,2900,48
EI,2834,2882,48
EJ,2891,2981,90
EK,2903,2993,90
EL,2894,2984,90
EM,2945,2970,25
EN,2949,2974,25
EO,2994,3019,25
EP,3017,3059,42
EQ,3014,3056,42
ER,3017,3059,42
ES,3065,3161,96
ET,3065,3161,96
EU,3017,3113,96
EV,3093,3094,1
EW,3170,3171,1
EX,3176,3271,95
EY,3170,3265,95
EZ,3173,3268,95
FA,3269,3283,14
FB,3263,3277,14
FC,3202,3216,14
FD,3213,3220,7
FE,3284,3291,7
FF,3305,3313,8
FG,3297,3305,8
FH,3287,3295,8
FI,3312,3352,40
FJ,3365,3381,16
FK,3340,3356,16
FL,3348,3349,1
FM,3382,3383,1
FN,3384,3385,1
FO,3366,3466,100
FP,3384,3484,100
FQ,3491,3588,97
FR,3495,3592,97
FS,3580,3589,9
FT,3529,3538,9
FU,3589,3598,9
FV,3602,3625,23
FW,3587,3610,23
FX,3626,3675,49
FY,3625,3674,49
FZ,3697,3751,54
GA,3652,3706,54
GB,3652,3706,54
GC,3765,3783,18
GD,3764,3782,18
GE,3777,3803,26
GF,3774,3800,26
GG,3775,3801,26
GH,3813,3825,12
GI,3775,3787,12
GJ,3739,3751,12
GK,3830,3841,11
GL,3829,3840,11
GM,3817,3828,11
GN,3825,3899,74
GO,3925,3943,18
GP,3973,3986,13
GQ,3931,3944,13
GR,3925,3938,13
