Busy Time
Capacity
2
Job,Release,Deadline,processingTime
A,1,48,44
B,1,45,44
C,42,55,7
D,45,92,31
E,82,174,48
F,120,256,73
G,150,352,64
H,176,302,64
I,285,322,33
J,287,324,33
K,319,336,4
L,299,341,4
M,327,398,12
N,338,488,102
O,289,480,102
P,408,613,77
Q,442,524,77
R,524,535,3
S,513,533,3
T,522,546,2
U,552,597,10
V,567,607,9
W,511,791,104
X,554,784,104
Y,669,728,51
Z,670,728,51
AA,723,735,1
AB,724,834,99
AC,727,873,99
AD,828,902,15
AE,836,939,4
AF,875,999,12
AG,897,934,33
AH,898,935,33
AI,927,992,55
AJ,928,996,55
AK,986,1170,123
AL,1117,1185,14
AM,1054,1190,11
AN,1088,1241,7
AO,1164,1174,7
AP,1169,1178,4
AQ,1160,1193,6
AR,1158,1201,6
AS,1182,1269,24
AT,1184,1230,24
AU,1141,1346,16
AV,1161,1280,16
AW,1221,1296,69
AX,1292,1299,4
AY,1285,1306,4
AZ,1293,1346,22
BA,1332,1364,6
BB,1343,1386,17
BC,1293,1450,116
BD,1305,1450,116
BE,1485,1500,15
BF,1517,1519,2
BG,1502,1504,2
BH,1515,1533,18
BI,1520,1538,18
BJ,1574,1587,13
BK,1535,1548,13
BL,1600,1620,20
BM,1635,1690,55
BN,1696,1708,12
BO,1686,1698,12
BP,1705,1706,1
BQ,1716,1719,3
BR,1747,1847,100
BS,1698,1798,100
BT,1809,1813,4
BU,1868,1874,6
BV,1875,1879,4
BW,1855,1909,54
BX,1925,1945,20
BY,1931,1951,20
BZ,1971,1989,18
CA,1953,1969,16
CB,1955,1971,16
CC,2020,2027,7
CD,2035,2072,37
CE,2026,2063,37
CF,2060,2069,9
CG,2080,2090,10
CH,2088,2092,4
CI,2079,2191,112
CJ,2056,2168,112
CK,2231,2233,2
CL,2233,2334,101
CM,2233,2334,101
CN,2324,2406,82
CO,2409,2425,16
CP,2427,2445,18
CQ,2431,2479,48
CR,2424,2472,48
CS,2485,2510,25
CT,2546,2643,97
CU,2620,2630,10
CV,2620,2630,10
