Machine,Start,End,Length,Jobs on Machine
M1,2,14,12,A
M2,15,127,112,"B, C, D, E"
M3,127,179,52,"F, G, H, I, J"
M4,184,303,119,"K, L, M, N"
M5,291,315,24,"O, P, Q"
M6,318,353,35,"R, S, T, U"
M7,381,387,6,"V, W"
M8,391,398,7,"X, Y, Z, AA, AB"
M9,394,398,4,"AC, AD, AE"
M10,403,513,110,AF
M11,517,558,41,AG
M12,560,633,73,AH
M13,634,639,5,"AI, AJ"
M14,651,655,4,"AK, AL, AM"
M15,669,676,7,AN
M16,676,729,53,"AO, AP"
M17,727,754,27,"AQ, AR, AS"
M18,758,766,8,"AT, AU, AV, AW, AX"
M19,768,774,6,"AY, AZ"
M20,777,782,5,"BA, BB, BC, BD, BE"
M21,812,820,8,"BF, BG, BH, BI, BJ"
M22,822,834,12,"BK, BL, BM"
M23,838,944,106,"BN, BO, BP, BQ"
M24,945,1082,137,"BR, BS, BT, BU"
M25,1078,1142,64,"BV, BW, BX, BY"
M26,1144,1153,9,"BZ, CA, CB, CC"
M27,1153,1158,5,CD
M28,1190,1235,45,"CE, CF, CG"
M29,1232,1236,4,CH
M30,1248,1260,12,"CI, CJ, CK, CL, CM"
M31,1262,1275,13,"CN, CO, CP, CQ"
M32,1277,1294,17,"CR, CS"
M33,1287,1302,15,"CT, CU, CV, CW"
M34,1302,1305,3,CX
M35,1336,1384,48,"CY, CZ, DA, DB"
M36,1384,1395,11,"DC, DD, DE, DF, DG"
M37,1389,1490,101,"DH, DI, DJ"
M38,1490,1594,104,"DK, DL, DM, DN, DO"
M39,1599,1657,58,"DP, DQ, DR"
M40,1664,1760,96,"DS, DT"
M41,1759,1895,136,DU
M42,1927,1945,18,"DV, DW"
M43,1950,1971,21,"DX, DY"
M44,1974,2025,51,"DZ, EA, EB"
M45,2024,2131,107,"EC, ED"
M46,2133,2147,14,EE
M47,2152,2168,16,EF
M48,2168,2296,128,"EG, EH, EI"
M49,2313,2327,14,EJ
M50,2340,2348,8,"EK, EL, EM, EN, EO"
M51,2350,2369,19,"EP, EQ, ER, ES"
M52,2372,2379,7,"ET, EU"
M53,2373,2384,11,"EV, EW, EX, EY, EZ"
M54,2385,2398,13,FA
M55,2413,2488,75,"FB, FC, FD"
M56,2505,2535,30,"FE, FF, FG, FH"
M57,2531,2542,11,FI
M58,2545,2548,3,"FJ, FK, FL"
M59,2553,2629,76,"FM, FN"
M60,2636,2648,12,FO
M61,2647,2650,3,FP
M62,2651,2662,11,"FQ, FR, FS, FT"
M63,2677,2679,2,"FU, FV"
M64,2684,2763,79,"FW, FX, FY, FZ"
M65,2759,2760,1,"GA, GB"
M66,2763,2868,105,"GC, GD, GE, GF"
M67,2873,2883,10,"GG, GH, GI, GJ, GK"
M68,2884,2885,1,"GL, GM, GN, GO"
M69,2886,2909,23,"GP, GQ"
M70,2921,3033,112,GR
M71,3037,3123,86,GS
M72,3127,3131,4,GT
