Busy Time
Capacity
7
Job,Release,Deadline,processingTime
A,1,35,32
B,33,74,34
C,16,76,34
D,29,77,34
E,26,91,34
F,69,165,59
G,58,176,59
H,120,236,14
I,134,154,14
J,135,150,14
K,140,230,73
L,140,235,73
M,145,282,73
N,150,272,73
O,149,309,11
P,224,330,17
Q,273,295,17
R,270,290,17
S,268,351,53
T,273,349,53
U,333,394,4
V,345,370,2
W,293,477,40
X,300,437,40
Y,354,397,40
Z,355,396,40
AA,338,406,40
AB,335,402,40
AC,399,550,111
AD,401,562,111
AE,369,620,111
AF,389,544,111
AG,398,516,111
AH,400,512,111
AI,396,514,111
AJ,493,523,8
AK,497,567,8
AL,493,558,8
AM,441,561,8
AN,474,612,8
AO,499,510,8
AP,526,537,4
AQ,516,541,4
AR,511,542,4
AS,541,574,7
AT,531,580,7
AU,473,661,17
AV,482,678,17
AW,549,572,17
AX,551,573,17
AY,545,572,17
AZ,548,577,17
BA,552,625,42
BB,558,656,42
BC,499,676,42
BD,557,742,15
BE,604,626,15
BF,606,623,15
BG,602,648,16
BH,629,782,125
BI,641,785,125
BJ,639,796,125
BK,612,841,125
BL,590,841,125
BM,644,770,125
BN,772,776,4
BO,769,788,4
BP,753,783,4
BQ,767,805,4
BR,772,794,4
BS,726,815,4
BT,741,873,4
BU,778,800,19
BV,779,799,19
BW,765,801,19
BX,761,806,19
BY,769,837,19
BZ,773,848,19
CA,749,847,19
CB,742,843,1
CC,800,803,1
CD,801,806,1
CE,788,817,1
CF,785,813,1
CG,794,845,1
CH,804,919,68
CI,729,920,68
CJ,734,943,68
CK,806,876,68
CL,863,885,22
CM,853,892,22
CN,859,895,22
CO,861,904,22
CP,853,907,22
CQ,829,995,28
CR,869,993,28
CS,889,917,28
CT,889,917,28
CU,877,928,28
CV,880,922,28
CW,889,947,28
CX,915,1051,89
CY,864,1060,89
CZ,866,1057,89
DA,1047,1053,3
DB,1046,1053,3
DC,1040,1061,3
DD,1030,1065,3
DE,1047,1109,4
DF,1048,1075,4
DG,1037,1122,4
DH,1055,1164,7
DI,1077,1110,26
DJ,1103,1124,18
DK,1094,1134,18
DL,1086,1134,18
DM,1101,1147,18
DN,1113,1176,17
DO,1088,1226,1
DP,1106,1185,1
DQ,1134,1138,1
DR,1135,1136,1
DS,1111,1140,1
DT,1159,1247,71
DU,1159,1285,71
DV,1163,1281,71
DW,1108,1285,71
DX,1168,1353,15
DY,1238,1253,15
DZ,1235,1254,15
EA,1226,1257,15
EB,1235,1256,15
EC,1242,1299,2
ED,1244,1294,2
EE,1190,1343,13
EF,1237,1369,13
EG,1252,1270,13
EH,1254,1273,13
EI,1235,1278,13
EJ,1245,1273,13
EK,1268,1324,8
EL,1261,1319,8
EM,1206,1378,8
EN,1218,1299,8
EO,1284,1313,28
EP,1284,1315,28
