Machine,Start,End,Length,Jobs on Machine
M1,2,57,55,"A, B, C, D, E"
M2,57,65,8,"F, G"
M3,66,84,18,"H, I, J"
M4,84,86,2,"K, L, M"
M5,93,111,18,"N, O"
M6,112,116,4,"P, Q, R"
M7,149,166,17,"S, T"
M8,167,180,13,"U, V"
M9,181,229,48,"W, X, Y, Z, AA"
M10,244,248,4,AB
M11,248,250,2,AC
M12,250,292,42,AD
M13,288,294,6,"AE, AF, AG, AH, AI"
M14,319,334,15,"AJ, AK, AL"
M15,343,355,12,"AM, AN"
M16,360,363,3,"AO, AP, AQ, AR, AS"
M17,364,406,42,"AT, AU, AV, AW, AX"
M18,411,464,53,AY
M19,467,479,12,"AZ, BA"
M20,486,524,38,BB
M21,526,631,105,"BC, BD, BE, BF, BG"
M22,635,661,26,BH
M23,664,687,23,"BI, BJ"
M24,689,702,13,"BK, BL, BM, BN, BO"
M25,710,715,5,"BP, BQ, BR, BS, BT"
M26,718,721,3,"BU, BV, BW, BX"
M27,726,782,56,"BY, BZ, CA, CB"
M28,808,814,6,CC
M29,812,826,14,"CD, CE, CF, CG, CH"
M30,833,887,54,"CI, CJ"
M31,888,940,52,"CK, CL, CM"
M32,940,988,48,"CN, CO, CP, CQ"
M33,975,989,14,"CR, CS"
M34,989,1120,131,"CT, CU"
M35,1157,1167,10,"CV, CW"
M36,1168,1202,34,"CX, CY, CZ"
M37,1192,1220,28,"DA, DB, DC, DD, DE"
M38,1221,1271,50,DF
M39,1273,1288,15,"DG, DH"
M40,1297,1327,30,"DI, DJ"
M41,1318,1421,103,"DK, DL, DM, DN, DO"
M42,1447,1583,136,"DP, DQ, DR"
M43,1584,1638,54,"DS, DT, DU, DV, DW"
M44,1641,1675,34,"DX, DY"
M45,1680,1710,30,"DZ, EA, EB, EC"
M46,1713,1727,14,"ED, EE, EF, EG, EH"
M47,1731,1736,5,"EI, EJ, EK"
M48,1739,1792,53,"EL, EM, EN, EO, EP"
M49,1784,1899,115,"EQ, ER, ES"
M50,1911,2023,112,"ET, EU, EV"
M51,2027,2029,2,EW
M52,2031,2033,2,EX
M53,2036,2046,10,"EY, EZ"
M54,2046,2055,9,"FA, FB, FC, FD"
M55,2070,2083,13,FE
M56,2098,2099,1,FF
M57,2101,2126,25,"FG, FH, FI, FJ"
M58,2126,2135,9,"FK, FL, FM, FN"
M59,2135,2157,22,"FO, FP, FQ, FR, FS"
M60,2162,2211,49,FT
M61,2196,2226,30,"FU, FV, FW"
M62,2230,2231,1,"FX, FY, FZ, GA"
M63,2242,2309,67,"GB, GC"
M64,2311,2315,4,"GD, GE, GF, GG"
M65,2326,2333,7,"GH, GI, GJ, GK"
M66,2336,2343,7,GL
M67,2348,2355,7,"GM, GN, GO"
