Busy Time
Capacity
5
Job,Release,Deadline,processingTime
A,1,17,12
B,15,130,112
C,1,137,112
D,1,129,112
E,7,153,112
F,125,232,52
G,101,299,52
H,82,260,52
I,126,182,52
J,125,181,52
K,163,314,119
L,165,306,119
M,178,331,119
N,176,351,119
O,264,434,24
P,237,372,24
Q,290,319,24
R,315,358,35
S,306,362,35
T,311,366,35
U,310,403,35
V,377,426,6
W,345,492,6
X,369,505,7
Y,388,402,7
Z,391,400,7
AA,382,409,7
AB,368,408,7
AC,391,431,4
AD,388,446,4
AE,364,510,4
AF,393,632,110
AG,515,561,41
AH,559,635,73
AI,611,642,5
AJ,611,645,5
AK,649,703,4
AL,650,699,4
AM,606,758,4
AN,596,796,7
AO,676,732,53
AP,674,731,53
AQ,708,762,27
AR,705,763,27
AS,725,770,27
AT,755,798,8
AU,732,797,8
AV,687,884,8
AW,756,771,8
AX,756,766,8
AY,765,776,6
AZ,756,778,6
BA,770,842,5
BB,774,798,5
BC,745,863,5
BD,713,893,5
BE,777,786,5
BF,812,825,8
BG,803,822,8
BH,807,822,8
BI,802,840,8
BJ,804,848,8
BK,783,944,12
BL,807,925,12
BM,819,835,12
BN,838,949,106
BO,825,959,106
BP,835,951,106
BQ,831,1004,106
BR,942,1111,137
BS,902,1127,137
BT,873,1117,137
BU,944,1085,137
BV,1076,1145,64
BW,1057,1150,64
BX,1074,1144,64
BY,1073,1192,64
BZ,1134,1208,9
CA,1095,1266,9
CB,1072,1196,9
CC,1144,1155,9
CD,1152,1162,5
CE,1169,1246,45
CF,1176,1241,45
CG,1188,1269,45
CH,1227,1252,4
CI,1180,1291,12
CJ,1182,1285,12
CK,1248,1262,12
CL,1247,1260,12
CM,1228,1269,12
CN,1253,1286,13
CO,1262,1309,13
CP,1259,1304,13
CQ,1249,1382,13
CR,1229,1414,17
CS,1274,1297,17
CT,1287,1307,15
CU,1262,1315,15
CV,1283,1307,15
CW,1278,1353,15
CX,1300,1322,3
CY,1302,1413,48
CZ,1303,1504,48
DA,1333,1387,48
DB,1333,1385,48
DC,1373,1407,11
DD,1371,1405,11
DE,1374,1430,11
DF,1375,1411,11
DG,1368,1465,11
DH,1343,1585,101
DI,1388,1493,101
DJ,1387,1491,101
DK,1487,1609,104
DL,1486,1598,104
DM,1483,1643,104
DN,1482,1620,104
DO,1426,1627,104
DP,1520,1686,58
DQ,1598,1662,58
DR,1599,1660,58
DS,1639,1763,96
DT,1644,1766,96
DU,1755,1949,136
DV,1921,1963,18
DW,1873,1984,18
DX,1898,2045,21
DY,1947,1971,21
DZ,1972,2027,51
EA,1969,2037,51
EB,1968,2039,51
EC,2022,2163,107
ED,2022,2151,107
EE,2057,2222,14
EF,2141,2214,16
EG,2165,2296,128
EH,2167,2296,128
EI,2153,2304,128
EJ,2290,2336,14
EK,2340,2398,8
EL,2338,2386,8
EM,2289,2444,8
EN,2264,2372,8
EO,2338,2351,8
EP,2349,2369,19
EQ,2337,2378,19
ER,2334,2375,19
ES,2344,2391,19
ET,2362,2436,7
EU,2292,2496,7
EV,2318,2477,11
EW,2370,2386,11
EX,2371,2386,11
EY,2355,2395,11
EZ,2360,2395,11
FA,2377,2421,13
FB,2413,2525,75
FC,2401,2533,75
FD,2333,2554,75
FE,2505,2536,30
FF,2502,2540,30
FG,2490,2542,30
FH,2485,2548,30
FI,2524,2566,11
FJ,2539,2587,3
FK,2475,2668,3
FL,2501,2638,3
FM,2552,2631,76
FN,2552,2632,76
FO,2620,2655,12
FP,2636,2655,3
FQ,2650,2719,11
FR,2645,2720,11
FS,2585,2759,11
FT,2597,2754,11
FU,2674,2682,2
FV,2677,2679,2
FW,2663,2775,79
FX,2679,2766,79
FY,2680,2798,79
FZ,2677,2818,79
GA,2715,2801,1
GB,2706,2851,1
GC,2763,2868,105
GD,2760,2870,105
GE,2745,2875,105
GF,2740,2870,105
GG,2866,2931,10
GH,2872,2933,10
GI,2856,3003,10
GJ,2818,3001,10
GK,2870,2885,10
GL,2881,2890,1
GM,2859,2895,1
GN,2878,2897,1
GO,2881,2945,1
GP,2886,2929,23
GQ,2863,2941,23
GR,2853,3134,112
GS,3036,3127,86
GT,3124,3135,4
GU,3120,3151,5
GV,3118,3150,5
GW,3122,3171,5
GX,3125,3177,5
GY,3095,3214,5
GZ,3098,3223,23
HA,3137,3165,23
HB,3140,3165,23
HC,3122,3165,23
HD,3158,3199,16
HE,3162,3215,16
HF,3169,3247,16
HG,3165,3296,17
HH,3171,3278,17
HI,3218,3263,37
HJ,3221,3263,37
HK,3201,3267,37
HL,3207,3270,37
HM,3251,3321,36
HN,3251,3346,36
HO,3202,3401,36
HP,3196,3405,36
HQ,3256,3297,36
HR,3295,3304,6
HS,3282,3316,6
HT,3296,3328,3
HU,3308,3369,3
HV,3307,3363,3
HW,3271,3381,3
HX,3270,3341,3
HY,3312,3317,2
HZ,3314,3387,67
IA,3314,3388,67
IB,3299,3391,67
IC,3384,3446,8
ID,3380,3418,8
IE,3374,3433,8
IF,3348,3511,8
IG,3425,3431,1
IH,3432,3444,12
II,3408,3450,12
IJ,3422,3450,12
IK,3424,3465,12
IL,3435,3484,17
IM,3451,3593,19
IN,3431,3511,19
IO,3459,3484,19
IP,3461,3482,19
IQ,3455,3493,19
IR,3460,3588,93
IS,3476,3596,93
IT,3480,3606,93
IU,3414,3683,93
IV,3466,3597,93
IW,3565,3580,11
IX,3567,3581,11
IY,3558,3582,11
IZ,3546,3587,11
JA,3582,3645,8
JB,3590,3632,8
JC,3570,3723,3
JD,3561,3750,3
JE,3637,3647,3
JF,3638,3645,3
JG,3622,3653,3
JH,3633,3663,3
JI,3644,3703,3
JJ,3645,3684,16
JK,3598,3753,16
JL,3629,3728,1
JM,3665,3673,1
JN,3666,3669,1
JO,3654,3681,1
JP,3657,3673,1
JQ,3671,3748,14
JR,3678,3720,14
JS,3630,3755,14
JT,3611,3760,14
JU,3677,3695,14
JV,3694,3699,1
JW,3685,3702,1
JX,3675,3758,50
JY,3695,3764,50
JZ,3695,3789,50
KA,3678,3782,50
KB,3653,3869,50
KC,3767,3888,120
KD,3766,3890,120
KE,3753,3902,120
KF,3865,3906,9
KG,3887,3934,9
KH,3889,3916,9
KI,3856,3972,9
KJ,3890,3970,11
KK,3911,3933,16
KL,3912,3933,16
KM,3890,3933,16
KN,3899,3938,16
KO,3903,3976,16
KP,3923,3968,4
KQ,3871,3993,4
KR,3889,3953,4
KS,3929,3937,4
KT,3926,3933,4
KU,3914,3958,11
KV,3918,3953,11
KW,3933,4002,11
KX,3928,3976,11
KY,3883,3995,14
KZ,3915,4013,14
LA,3946,3967,14
LB,3949,3964,14
LC,3935,3968,14
LD,3966,4005,12
LE,3980,4041,12
LF,3981,4012,12
LG,3924,4077,12
LH,3927,4102,12
LI,3995,4034,33
LJ,3997,4032,33
LK,3985,4033,33
LL,3994,4033,33
LM,3991,4054,33
LN,4024,4054,1
LO,3969,4118,1
LP,3954,4060,1
LQ,4031,4055,19
LR,4040,4048,2
LS,4023,4057,2
LT,4028,4053,2
LU,4053,4120,4
LV,4059,4126,13
LW,4034,4109,13
LX,4015,4139,13
LY,4064,4079,13
LZ,4103,4111,4
MA,4078,4117,4
MB,4086,4120,4
MC,4107,4144,14
MD,4111,4140,14
ME,4115,4237,12
MF,4096,4233,12
MG,4143,4169,22
MH,4140,4170,22
MI,4126,4170,22
MJ,4163,4190,10
MK,4162,4198,10
ML,4169,4355,124
MM,4148,4355,124
MN,4096,4382,124
MO,4171,4297,124
MP,4169,4301,124
MQ,4278,4330,26
MR,4286,4341,26
MS,4299,4386,26
MT,4294,4351,26
MU,4282,4432,40
MV,4312,4468,40
MW,4402,4410,4
MX,4403,4412,4
MY,4384,4418,4
MZ,4398,4414,4
NA,4397,4431,4
NB,4400,4452,18
NC,4355,4533,18
ND,4343,4526,18
NE,4424,4515,83
NF,4510,4567,52
NG,4509,4574,52
NH,4558,4582,4
NI,4564,4589,4
NJ,4575,4617,4
NK,4555,4782,91
NL,4552,4791,91
NM,4683,4793,107
NN,4681,4795,107
NO,4661,4800,107
NP,4775,4807,6
NQ,4785,4824,6
NR,4787,4847,6
NS,4723,4890,18
NT,4778,4938,18
NU,4799,4824,18
NV,4822,4839,13
NW,4826,4865,18
NX,4822,4865,18
NY,4841,4919,18
NZ,4855,4940,37
OA,4841,4939,37
OB,4848,4944,37
OC,4915,4924,5
OD,4915,4924,5
OE,4903,4936,5
OF,4920,4942,14
OG,4917,4955,14
OH,4919,4957,14
OI,4903,5050,3
OJ,4931,4985,3
