Busy Time
Capacity
5
Job,Release,Deadline,processingTime
A,1,4,1
B,3,51,45
C,1,65,45
D,1,60,45
E,45,90,1
F,51,69,1
G,1,74,1
H,15,150,3
I,54,61,3
J,55,62,3
K,41,95,27
L,45,96,27
M,65,149,27
N,56,108,27
O,48,182,18
P,114,224,1
Q,128,133,1
R,132,155,17
S,131,154,17
T,134,165,14
U,134,171,14
V,131,176,14
W,126,200,14
X,95,184,14
Y,156,240,83
Z,155,244,83
AA,131,243,83
AB,133,245,83
AC,236,359,99
AD,237,393,99
AE,209,405,99
AF,320,419,8
AG,337,348,8
AH,336,352,8
AI,322,355,8
AJ,330,398,52
AK,341,423,52
AL,337,414,52
AM,284,489,52
AN,383,567,33
AO,429,466,33
AP,429,466,33
AQ,419,478,33
AR,420,477,33
AS,478,506,4
AT,484,548,19
AU,414,536,19
AV,461,617,19
AW,486,507,19
AX,484,508,19
AY,490,549,44
AZ,484,550,44
BA,492,595,44
BB,540,597,33
BC,487,698,33
BD,515,691,44
BE,577,623,44
BF,578,625,44
BG,563,627,44
BH,571,632,44
BI,622,686,9
BJ,629,687,9
BK,558,672,9
BL,618,752,2
BM,646,654,2
BN,647,654,2
BO,643,655,2
BP,644,663,2
BQ,643,732,43
BR,649,755,43
BS,579,792,43
BT,658,770,10
BU,696,707,10
BV,696,709,10
BW,705,731,13
BX,704,730,13
BY,727,803,38
BZ,730,795,38
CA,715,957,125
CB,834,996,13
CC,926,1042,110
CD,1022,1038,10
CE,1006,1045,10
CF,1004,1048,10
CG,1015,1067,10
CH,1043,1086,19
CI,1003,1153,19
CJ,1048,1207,51
CK,1065,1124,51
CL,1119,1134,10
CM,1101,1133,10
CN,1095,1138,10
CO,1123,1209,32
CP,1153,1341,134
CQ,1250,1396,8
CR,1308,1400,8
CS,1326,1335,8
CT,1323,1336,8
CU,1316,1346,3
CV,1324,1350,3
CW,1328,1353,3
CX,1331,1378,3
CY,1316,1436,3
CZ,1285,1465,16
DA,1354,1369,8
DB,1356,1368,8
DC,1348,1370,8
DD,1345,1367,8
DE,1355,1398,8
DF,1367,1422,3
DG,1299,1448,3
DH,1339,1512,14
DI,1378,1399,14
DJ,1378,1399,14
DK,1390,1435,30
DL,1386,1434,30
DM,1392,1475,30
DN,1384,1449,30
DO,1407,1626,94
DP,1405,1672,94
DQ,1463,1559,94
DR,1462,1559,94
DS,1537,1601,32
DT,1545,1608,32
DU,1595,1632,7
DV,1590,1627,7
DW,1530,1639,7
DX,1535,1715,7
DY,1594,1608,7
DZ,1604,1656,52
EA,1593,1670,52
EB,1587,1660,52
EC,1648,1721,18
ED,1651,1729,18
EE,1636,1697,18
EF,1618,1755,1
EG,1675,1681,1
EH,1673,1678,1
EI,1667,1699,14
EJ,1674,1700,14
EK,1720,1779,5
EL,1733,1758,1
EM,1694,1856,2
EN,1671,1778,2
EO,1741,1751,2
EP,1741,1746,2
EQ,1727,1752,2
ER,1729,1763,10
ES,1742,1817,10
ET,1745,1773,10
EU,1734,1896,54
EV,1714,1889,54
EW,1757,1814,54
EX,1758,1819,54
EY,1795,1839,16
EZ,1811,1843,16
FA,1838,1887,13
FB,1836,1890,13
FC,1786,1898,13
FD,1798,1950,49
FE,1872,1925,49
