Machine,Start,End,Length,Jobs on Machine
M1,1,45,44,"A, B, C, D, E"
M2,48,49,1,F
M3,52,73,21,"G, H, I, J, K, L, M"
M4,74,88,14,"N, O, P"
M5,89,104,15,Q
M6,108,149,41,"R, S, T"
M7,166,174,8,"U, V, W, X, Y, Z, AA"
M8,179,314,135,"AB, AC, AD, AE"
M9,307,308,1,"AF, AG"
M10,319,327,8,"AH, AI"
M11,329,374,45,"AJ, AK, AL, AM, AN, AO"
M12,374,381,7,"AP, AQ, AR, AS"
M13,383,387,4,"AT, AU"
M14,402,409,7,"AV, AW, AX, AY"
M15,419,437,18,"AZ, BA, BB, BC, BD, BE"
M16,441,477,36,"BF, BG, BH, BI, BJ, BK, BL"
M17,460,462,2,"BM, BN, BO"
M18,465,551,86,"BP, BQ, BR, BS, BT"
M19,554,558,4,"BU, BV, BW, BX, BY, BZ"
M20,571,616,45,"CA, CB, CC, CD"
M21,617,634,17,"CE, CF"
M22,637,692,55,CG
M23,697,715,18,"CH, CI, CJ, CK, CL, CM, CN"
M24,715,767,52,"CO, CP, CQ, CR, CS"
M25,772,851,79,"CT, CU, CV, CW"
M26,853,869,16,"CX, CY, CZ, DA"
M27,871,876,5,"DB, DC, DD"
M28,912,920,8,"DE, DF, DG, DH, DI, DJ"
M29,920,977,57,"DK, DL, DM, DN"
M30,980,1075,95,"DO, DP, DQ, DR, DS, DT, DU"
M31,1075,1080,5,"DV, DW"
M32,1085,1095,10,"DX, DY"
M33,1092,1127,35,"DZ, EA"
M34,1129,1131,2,"EB, EC, ED, EE, EF, EG, EH"
M35,1170,1179,9,"EI, EJ, EK, EL, EM"
M36,1179,1193,14,"EN, EO, EP, EQ, ER, ES, ET"
M37,1191,1200,9,"EU, EV, EW, EX, EY, EZ, FA"
M38,1204,1205,1,"FB, FC, FD, FE, FF, FG, FH"
M39,1210,1250,40,"FI, FJ, FK, FL, FM"
M40,1263,1266,3,"FN, FO, FP, FQ, FR, FS, FT"
M41,1270,1350,80,"FU, FV, FW, FX"
M42,1364,1403,39,"FY, FZ, GA, GB, GC, GD, GE"
M43,1403,1466,63,GF
M44,1466,1524,58,"GG, GH, GI, GJ, GK"
M45,1524,1566,42,GL
M46,1566,1569,3,"GM, GN, GO, GP, GQ, GR, GS"
M47,1573,1603,30,"GT, GU"
M48,1605,1623,18,GV
M49,1628,1650,22,"GW, GX, GY, GZ, HA, HB"
M50,1654,1655,1,"HC, HD, HE, HF"
M51,1660,1672,12,"HG, HH, HI, HJ, HK, HL"
M52,1673,1719,46,HM
M53,1714,1754,40,"HN, HO, HP, HQ, HR, HS, HT"
M54,1755,1758,3,"HU, HV, HW, HX, HY, HZ, IA"
M55,1771,1773,2,"IB, IC, ID, IE, IF, IG, IH"
M56,1801,1872,71,"II, IJ"
M57,1873,1884,11,"IK, IL, IM, IN, IO"
M58,1887,1988,101,IP
M59,1992,1996,4,"IQ, IR, IS, IT, IU, IV, IW"
M60,2008,2025,17,"IX, IY, IZ, JA, JB"
M61,2015,2025,10,JC
M62,2029,2035,6,"JD, JE, JF, JG"
M63,2072,2083,11,"JH, JI"
M64,2088,2089,1,"JJ, JK, JL"
M65,2097,2103,6,"JM, JN, JO, JP, JQ, JR"
M66,2107,2121,14,"JS, JT, JU, JV, JW, JX"
M67,2125,2212,87,"JY, JZ, KA, KB, KC"
M68,2217,2224,7,"KD, KE, KF, KG"
M69,2226,2284,58,"KH, KI"
M70,2311,2324,13,"KJ, KK, KL, KM, KN, KO"
M71,2326,2377,51,"KP, KQ"
M72,2382,2423,41,"KR, KS, KT"
M73,2416,2516,100,"KU, KV, KW"
M74,2520,2523,3,"KX, KY, KZ, LA"
M75,2526,2584,58,"LB, LC, LD"
M76,2585,2614,29,"LE, LF, LG"
M77,2629,2646,17,"LH, LI, LJ, LK"
M78,2650,2668,18,"LL, LM, LN, LO, LP"
M79,2669,2682,13,"LQ, LR, LS, LT, LU"
M80,2693,2700,7,LV
M81,2700,2705,5,"LW, LX"
M82,2705,2714,9,"LY, LZ, MA, MB, MC, MD, ME"
M83,2717,2724,7,"MF, MG, MH, MI, MJ, MK, ML"
M84,2753,2770,17,"MM, MN, MO"
M85,2777,2792,15,"MP, MQ"
M86,2797,2844,47,"MR, MS, MT, MU, MV, MW"
M87,2846,2886,40,"MX, MY, MZ, NA, NB, NC"
M88,2891,2907,16,ND
M89,2906,3010,104,"NE, NF, NG"
M90,3015,3146,131,"NH, NI, NJ"
M91,3170,3228,58,"NK, NL"
M92,3233,3239,6,"NM, NN, NO, NP, NQ"
M93,3240,3257,17,"NR, NS"
M94,3262,3283,21,"NT, NU, NV, NW, NX"
M95,3296,3298,2,"NY, NZ, OA"
M96,3303,3309,6,"OB, OC, OD, OE, OF"
M97,3309,3324,15,OG
M98,3362,3378,16,"OH, OI"
M99,3379,3380,1,"OJ, OK, OL"
