Busy Time
Capacity
4
Job,Release,Deadline,processingTime
A,3,14,7
B,3,10,7
C,1,24,7
D,1,31,15
E,2,46,15
F,24,95,44
G,22,278,127
H,157,298,54
I,198,259,54
J,256,373,110
K,386,464,48
L,394,458,48
M,453,491,14
N,456,499,14
O,430,532,14
P,459,633,128
Q,605,675,68
R,604,679,68
S,593,682,68
T,587,682,68
U,670,728,13
V,679,711,13
W,620,725,13
X,678,770,8
Y,698,728,27
Z,699,733,27
AA,698,730,27
AB,698,736,27
AC,757,870,65
AD,835,933,41
AE,817,986,41
AF,821,1057,59
AG,881,943,59
AH,883,947,59
AI,869,953,59
AJ,927,999,46
AK,941,1049,46
AL,941,1024,46
AM,982,1053,4
AN,919,1059,4
AO,1001,1021,12
AP,1003,1018,12
AQ,979,1025,12
AR,992,1021,12
AS,1023,1146,96
AT,1029,1148,96
AU,1017,1232,96
AV,979,1244,96
AW,1129,1159,24
AX,1130,1154,24
AY,1126,1169,24
AZ,1124,1165,24
BA,1151,1226,14
BB,1165,1269,85
BC,1149,1372,85
BD,1235,1327,38
BE,1285,1295,4
BF,1285,1293,4
BG,1275,1300,4
BH,1284,1435,133
BI,1287,1442,133
BJ,1282,1481,133
BK,1380,1516,11
BL,1364,1514,11
BM,1448,1500,47
BN,1448,1496,47
BO,1438,1502,47
BP,1438,1508,47
BQ,1483,1515,6
BR,1484,1519,6
BS,1440,1626,4
BT,1459,1593,4
BU,1506,1512,4
BV,1510,1526,10
BW,1497,1535,10
BX,1500,1532,10
BY,1510,1581,10
BZ,1517,1710,137
CA,1655,1720,2
CB,1595,1745,30
CC,1667,1699,30
CD,1665,1701,30
CE,1660,1708,30
CF,1695,1736,1
CG,1718,1828,51
CH,1715,1794,51
CI,1692,1887,18
CJ,1735,1868,18
CK,1771,1791,18
CL,1791,1798,4
CM,1789,1817,11
CN,1783,1821,11
CO,1823,1878,10
CP,1828,1890,40
CQ,1777,1933,40
CR,1767,1923,40
CS,1898,1903,4
CT,1897,1905,4
CU,1891,1911,4
CV,1882,1916,4
CW,1903,1977,36
CX,1900,1973,36
CY,1856,1971,36
CZ,1879,1982,36
DA,1940,1950,3
DB,1953,1959,3
DC,1929,1963,3
DD,1947,1964,3
DE,1955,2120,115
DF,1957,2130,115
DG,2056,2156,46
DH,2012,2221,46
DI,2121,2130,1
DJ,2124,2126,1
DK,2153,2170,10
DL,2147,2182,10
DM,2152,2210,10
DN,2150,2223,10
DO,2112,2246,17
DP,2116,2234,17
DQ,2177,2197,17
DR,2176,2196,17
DS,2182,2266,67
DT,2251,2322,45
DU,2263,2363,45
DV,2260,2354,45
DW,2253,2332,17
DX,2236,2478,69
DY,2389,2485,89
DZ,2391,2483,89
EA,2375,2493,89
EB,2494,2551,26
EC,2508,2563,26
ED,2512,2583,26
EE,2488,2604,26
EF,2480,2583,1
EG,2534,2537,1
EH,2533,2538,1
EI,2525,2632,84
EJ,2538,2629,84
EK,2539,2669,84
EL,2538,2663,84
EM,2615,2728,3
EN,2617,2705,3
EO,2627,2638,3
EP,2629,2637,3
EQ,2629,2692,44
ER,2620,2696,44
ES,2639,2729,44
ET,2679,2741,38
EU,2636,2775,38
EV,2609,2781,38
EW,2720,2848,125
EX,2719,2851,125
EY,2698,2849,125
EZ,2698,2854,125
FA,2869,2907,13
FB,2891,2960,32
FC,2840,3037,32
FD,2864,2964,32
FE,2918,2930,5
FF,2917,2930,5
FG,2909,2939,5
FH,2896,2938,5
FI,2925,3011,44
FJ,2925,2996,44
FK,2893,3045,44
FL,2911,3036,2
FM,2981,2994,9
FN,2979,2996,9
FO,2980,3008,15
FP,2976,3011,15
FQ,3011,3046,8
FR,3012,3052,8
FS,3006,3102,9
FT,2967,3145,9
FU,3028,3039,9
FV,3026,3038,9
FW,3016,3054,8
FX,3026,3051,8
FY,3036,3080,8
FZ,3034,3079,8
GA,3017,3143,13
GB,2973,3092,13
GC,3047,3067,13
GD,3059,3076,13
GE,3077,3106,17
GF,3087,3196,85
GG,3106,3240,85
GH,3210,3242,3
GI,3145,3293,3
GJ,3177,3264,3
GK,3215,3225,3
GL,3223,3237,8
GM,3223,3262,12
GN,3228,3262,12
GO,3230,3281,12
GP,3235,3282,12
GQ,3200,3317,13
GR,3180,3297,13
GS,3257,3274,13
GT,3257,3273,13
GU,3262,3316,43
GV,3260,3318,43
GW,3259,3336,43
GX,3304,3376,17
GY,3285,3431,17
GZ,3281,3439,3
HA,3333,3337,3
HB,3331,3338,3
HC,3324,3463,107
HD,3328,3464,107
HE,3344,3505,107
HF,3346,3503,107
HG,3446,3584,17
HH,3379,3573,17
HI,3456,3479,17
HJ,3476,3513,31
HK,3463,3512,31
HL,3498,3522,1
HM,3504,3559,1
HN,3510,3545,6
HO,3455,3604,6
HP,3498,3596,6
HQ,3516,3525,6
HR,3516,3530,10
HS,3523,3547,3
HT,3516,3546,3
HU,3529,3563,3
HV,3548,3741,134
HW,3674,3838,41
HX,3668,3849,4
HY,3726,3732,4
HZ,3733,3741,1
IA,3727,3766,5
IB,3744,3767,5
IC,3745,3770,5
ID,3746,3823,11
IE,3707,3806,11
IF,3701,3850,86
IG,3760,3850,86
IH,3759,3850,86
II,3736,3850,86
IJ,3857,3973,116
IK,3868,3984,116
IL,3872,3988,116
IM,3920,3928,8
IN,3966,3974,8
IO,3990,3998,8
IP,3991,3999,8
IQ,4003,4012,9
IR,3985,3994,9
IS,4018,4071,53
IT,4071,4113,42
IU,4019,4061,42
IV,4063,4105,42
IW,4119,4134,15
IX,4120,4135,15
IY,4109,4124,15
IZ,4133,4180,47
JA,4133,4180,47
JB,4137,4184,47
JC,4178,4204,26
JD,4125,4151,26
JE,4225,4238,13
JF,4225,4238,13
JG,4227,4241,14
JH,4225,4239,14
JI,4232,4246,14
JJ,4252,4317,65
JK,4184,4249,65
JL,4207,4272,65
JM,4319,4323,4
JN,4333,4351,18
JO,4325,4343,18
JP,4318,4336,18
JQ,4345,4358,13
JR,4346,4359,13
JS,4344,4357,13
JT,4279,4292,13
JU,4405,4429,24
JV,4408,4432,24
JW,4403,4427,24
JX,4402,4411,9
JY,4423,4432,9
JZ,4421,4430,9
KA,4378,4387,9
KB,4410,4480,70
KC,4515,4527,12
KD,4531,4553,22
KE,4508,4530,22
KF,4507,4529,22
KG,4529,4551,22
KH,4543,4658,115
KI,4491,4606,115
KJ,4653,4685,32
KK,4667,4699,32
KL,4668,4700,32
KM,4733,4749,16
KN,4721,4737,16
