Busy Time
Capacity
5
Job,Release,Deadline,processingTime
A,1,60,55
B,1,58,55
C,1,72,55
D,1,64,55
E,1,73,55
F,50,99,8
G,7,173,8
H,6,135,18
I,64,85,18
J,63,85,18
K,73,89,2
L,68,96,2
M,75,146,2
N,86,131,18
O,33,193,18
P,32,231,4
Q,111,121,4
R,112,118,4
S,136,169,17
T,134,171,17
U,165,227,13
V,157,232,13
W,166,329,48
X,111,283,48
Y,181,229,48
Z,181,231,48
AA,162,238,48
AB,238,263,4
AC,244,283,2
AD,242,313,42
AE,272,379,6
AF,232,380,6
AG,286,295,6
AH,285,295,6
AI,272,307,6
AJ,307,339,15
AK,319,383,15
AL,311,378,15
AM,286,449,12
AN,317,377,12
AO,358,368,3
AP,357,368,3
AQ,351,377,3
AR,338,377,3
AS,356,406,3
AT,354,441,42
AU,297,486,42
AV,321,457,42
AW,363,407,42
AX,361,407,42
AY,395,477,53
AZ,461,483,12
BA,464,532,12
BB,485,563,38
BC,486,670,105
BD,515,745,105
BE,526,635,105
BF,526,632,105
BG,519,635,105
BH,620,670,26
BI,656,716,23
BJ,662,730,23
BK,637,752,13
BL,656,789,13
BM,688,702,13
BN,686,704,13
BO,676,714,13
BP,702,725,5
BQ,701,738,5
BR,709,755,5
BS,635,818,5
BT,656,774,5
BU,718,726,3
BV,716,724,3
BW,704,728,3
BX,711,728,3
BY,716,823,56
BZ,718,807,56
CA,676,875,56
CB,675,835,56
CC,807,816,6
CD,810,831,14
CE,795,829,14
CF,807,831,14
CG,810,843,14
CH,805,870,14
CI,772,1006,54
CJ,760,972,54
CK,886,942,52
CL,886,940,52
CM,877,947,52
CN,921,990,48
CO,936,1023,48
CP,939,1028,48
CQ,927,1068,48
CR,938,1088,14
CS,975,991,14
CT,987,1123,131
CU,985,1135,131
CV,1139,1179,10
CW,1149,1225,10
CX,1164,1233,34
CY,1138,1284,34
CZ,1152,1297,34
DA,1190,1223,28
DB,1189,1223,28
DC,1175,1235,28
DD,1174,1222,28
DE,1184,1279,28
DF,1220,1294,50
DG,1239,1398,15
DH,1223,1330,15
DI,1296,1332,30
DJ,1295,1329,30
DK,1298,1428,103
DL,1303,1433,103
DM,1313,1449,103
DN,1316,1437,103
DO,1293,1528,103
DP,1370,1692,136
DQ,1445,1584,136
DR,1445,1586,136
DS,1566,1649,54
DT,1574,1653,54
DU,1579,1653,54
DV,1580,1682,54
DW,1534,1739,54
DX,1602,1716,34
