Busy Time
Capacity
6
Job,Release,Deadline,processingTime
A,2,16,10
B,2,14,10
C,5,43,19
D,1,40,19
E,35,62,7
F,33,70,7
G,1,144,7
H,1,85,7
I,45,102,53
J,46,100,53
K,91,205,94
L,77,197,94
M,89,210,94
N,93,252,94
O,48,246,94
P,57,301,94
Q,195,231,33
R,254,400,140
S,234,404,140
T,244,404,140
U,393,438,1
V,392,428,1
W,332,512,1
X,361,474,1
Y,403,524,119
Z,403,527,119
AA,390,526,119
AB,512,544,8
AC,529,566,8
AD,519,562,8
AE,503,627,8
AF,525,698,54
AG,535,591,54
AH,536,592,54
AI,512,599,54
AJ,578,603,8
AK,591,640,8
AL,588,635,8
AM,538,717,3
AN,579,689,3
AO,614,618,1
AP,630,644,11
AQ,618,652,11
AR,615,653,11
AS,635,798,124
AT,635,797,124
AU,577,839,124
AV,693,871,2
AW,753,755,2
AX,755,759,2
AY,739,780,16
AZ,743,791,16
BA,756,803,16
BB,758,835,16
BC,717,889,16
BD,768,881,10
BE,782,795,10
BF,815,845,24
BG,797,853,24
BH,797,848,24
BI,817,866,24
BJ,812,881,24
BK,813,1003,50
BL,786,955,50
BM,840,894,50
BN,896,908,5
BO,874,916,5
BP,883,915,5
BQ,895,935,5
BR,897,949,5
BS,870,963,31
BT,893,997,31
BU,906,940,31
BV,903,941,31
BW,899,949,31
BX,921,953,18
BY,918,985,18
BZ,923,983,18
CA,868,1015,1
CB,868,1026,32
CC,944,981,32
CD,945,980,32
CE,927,988,32
CF,928,980,32
CG,1008,1060,6
CH,1016,1070,6
CI,972,1123,6
CJ,980,1063,6
CK,1016,1027,6
CL,1015,1025,6
CM,1006,1030,9
CN,1007,1036,9
CO,1017,1067,9
CP,1011,1088,9
CQ,988,1102,8
CR,970,1075,8
CS,1042,1054,8
CT,1053,1056,3
CU,1040,1061,3
CV,1049,1117,50
CW,1056,1160,50
CX,1051,1148,50
CY,1044,1191,50
CZ,1048,1192,50
DA,1057,1113,50
DB,1097,1151,52
DC,1075,1158,52
DD,1085,1159,52
DE,1092,1208,52
DF,1089,1196,52
DG,1131,1270,51
DH,1073,1275,51
DI,1152,1206,51
